	SRR6357070_ReadsPerGene.out.tab	SRR6357071_ReadsPerGene.out.tab	SRR6357072_ReadsPerGene.out.tab
YDR263C	474	644	537
YDR220C	90	108	80
YDR429C	11767	14642	12018
YDR119W-A	59	67	64
YDR421W	1464	2093	1563
YDL186W	95	157	137
YDL198C	1434	2526	2013
YDL120W	1735	2379	1787
YDR379W	1709	2516	1994
YDL029W	7109	10107	7830
YDR205W	1537	2201	1923
YDR094W	0	0	0
YDR369C	870	1207	872
YDR088C	880	1369	1100
YDR411C	1438	1957	1568
YDR441C	1254	1906	1642
YDR446W	105	132	149
YDL183C	261	391	313
YDR194W-A	4	3	1
YDR114C	5	7	6
YDR442W	22	36	23
tK(CUU)D2	0	0	0
YDL059C	282	475	372
YDR016C	401	654	591
YDR430C	3178	5188	3633
YDR366C	4	7	9
YDR374W-A	184	387	308
YDR293C	13404	18370	15097
YDR459C	728	1109	875
YDR022C	272	382	320
YDR217C	3986	5898	4309
YDR052C	1998	2779	2094
YDL027C	850	1191	947
YDR104C	1439	1977	1590
YDL136W	11672	15869	13920
YDR248C	718	1052	767
YDR078C	266	407	285
YDR068W	1278	1749	1313
YDL080C	1250	1790	1413
YDR461C-A	223	338	268
YDR252W	195	249	212
YDL046W	3142	4694	4112
YDR540C	145	216	174
YDR181C	975	1428	1026
YDL200C	380	494	424
YDR108W	1284	1910	1513
YDR337W	1140	1853	1402
YDR356W	2189	3278	2516
YDL235C	1985	2776	2385
YDR320W-B	4	6	5
YDL245C	64	103	91
YDR170W-A	618	1062	793
YDR210W-B	234	385	255
YDR210C-D	661	1197	738
YDR316W-B	7	22	6
YDR261C-D	2880	4215	2486
YDR210C-C	0	0	0
YDR261C-C	0	0	0
YDR261W-B	1369	2383	1177
YDR365W-A	0	0	0
YDR316W-A	0	0	0
YDR261W-A	0	0	0
YDR365W-B	2086	4322	2475
YDR098C-B	260	425	281
YDR098C-A	0	0	0
YDR210W-A	0	0	0
YDR034C-D	887	1445	918
YDR034C-C	0	0	0
YOR185C	804	1278	954
YOR237W	127	179	160
YOL048C	663	941	739
tG(GCC)O1	4	1	2
YOL144W	1183	1811	1478
snR8	5996	7511	12745
YOR082C	7	7	4
YOL072W	850	1281	1000
YOR114W	228	349	286
YOL085C	14	21	19
YOR385W	3223	4902	4047
YOR214C	9	12	14
YOL119C	401	688	496
YOR019W	497	730	601
YOR206W	10928	15689	11908
YOR345C	15	20	14
YOR341W	55248	74045	56410
YOL088C	1637	2637	2023
YOR392W	1	4	1
YOR160W	3197	4573	3643
YOR084W	808	1006	967
YOR039W	3281	4305	3505
YOR264W	1873	2450	1864
YOR281C	2035	2627	2173
tK(UUU)O	64	82	85
YOR230W	10448	16468	12547
YOR144C	1403	2036	1601
YOL081W	15942	24123	18646
YOL052C	2578	3927	3126
YOR285W	2398	3535	2851
YOR058C	2353	3284	2815
YOR270C	28382	41818	31273
YOL154W	305	442	343
YOR115C	1458	2087	1749
YOL003C	1063	1650	1180
YOR258W	274	443	380
tN(GUU)O2	7	14	12
YOL103W	4764	7645	5583
YOR215C	1032	1427	1099
YOL095C	825	1104	939
YOL063C	2388	3456	2724
YOL079W	0	1	0
YOR389W	355	489	385
YOR231W	1712	2476	1775
YOR021C	3144	4622	3563
YOR139C	16	37	10
YOR120W	351	583	412
YOL038W	5967	8567	7074
YOR023C	1397	2096	1744
YOL124C	2485	3844	2861
YOR212W	4557	6343	4983
YOL013W-A	14	26	22
YOL120C	65169	98545	87930
YOR181W	1119	1680	1434
YOR333C	1	1	0
YOR335C	38522	55409	41627
YOL046C	25	48	34
YOL029C	886	1208	889
YOL155W-A	30	33	34
YOR072W	50	96	74
YOL161C	3	4	4
snR58	10	20	15
YOL122C	2459	3545	2688
YOR252W	901	1593	1244
YOR157C	5760	8049	6469
YOL107W	635	869	634
YOR274W	1133	1747	1357
YOL013W-B	14	12	9
YOR343C	52	53	71
YOR093C	2946	4420	3327
YOR381W-A	20	15	19
YOL065C	848	1166	887
YOR092W	2635	3949	2934
YOR207C	10157	13871	10694
YOR365C	212	323	224
YOL005C	1226	2068	1718
YOL020W	4501	7096	5292
YOL053W	644	889	647
YOL117W	678	941	730
YOR038C	814	1510	1246
YOR303W	4799	7704	4663
YOR137C	1197	1860	1336
