	SRA6357070_rsem.genes.results	SRA6357071_rsem.genes.results	SRA6357072_rsem.genes.results
YMR255W	757	1119	885
YMR256C	160	262	235
YMR257C	793	1231	875
YMR258C	1169	1701	1308
YMR259C	5851	8366	6607
YMR260C	7524	9806	8032
YMR261C	5834	9138	6961
YMR262W	486	737	528
YMR263W	648	828	768
YMR264W	988	1634	1280
YMR265C	1009	1281	1077
YMR266W	11201	15869	11334
YMR267W	992	1539	1040
YMR268C	475	728	623
YMR269W	14	27	36
YMR270C	909	1355	1055
YMR271C	69	95	85
YMR272C	2217	3629	3069
YMR272W-A	0	0	0
YMR272W-B	0	0	0
YMR273C	2040	2915	2129
YMR274C	343	573	455
YMR275C	3051	4340	3592
YMR276W	5283	6271	5473
YMR277W	3157	4657	3462
YMR278W	2050	2552	2240
YMR279C	20	26	37
YMR280C	527	609	471
YMR281W	544	833	693
YMR282C	955	1395	1003
YMR283C	825	1216	960
YMR284W	733	1104	814
YMR285C	1288	2031	1584
YMR286W	212	367	256
YMR287C	1265	1979	1380
YMR288W	1889	2790	2252
YMR289W	1044	1566	1254
YMR290C	7079	10355	8383
YMR290W-A	0	1	0
YMR291W	1977	3192	2296
YMR292W	623	1149	886
YMR293C	187	377	309
YMR294W	375	598	416
YMR294W-A	0	5	3
YMR295C	2533	3821	3233
YMR296C	5957	8765	7242
YMR297W	10410	16488	12037
YMR298W	1156	1584	1335
YMR299C	495	679	553
YMR300C	3793	5583	3988
YMR301C	2298	3358	2808
YMR302C	2649	4066	3008
YMR303C	91	108	95
YMR304C-A	701	787	784
YMR304W	4144	6162	4634
YMR305C	11107	16076	14412
YMR306C-A	16	18	19
YMR306W	358	603	484
YMR307C-A	0	1	0
YMR307W	72397	99784	83174
YMR308C	17241	24309	18029
YMR309C	23899	33955	25843
YMR310C	1084	1560	1276
YMR311C	1271	1921	1530
YMR312W	1022	1344	1173
YMR313C	1882	2721	2041
YMR314W	3242	4616	3794
YMR315W	2414	4039	2795
YMR315W-A	0	0	0
YMR316C-A	5	3	3
YMR316C-B	32	29	32
YMR316W	1935	2536	2358
YMR317W	83	121	125
YMR318C	5532	8463	6392
YMR319C	2833	3725	2648
YMR320W	47	45	44
YMR321C	1	1	0
YMR322C	0	1	0
YMR323W	2	2	12
YMR324C	0	0	0
YMR325W	0	0	1
YMR326C	0	0	0
YNL001W	1575	2415	1972
YNL002C	4722	6972	5215
YNL003C	795	1195	908
YNL004W	2444	3137	2516
YNL005C	1620	2614	1761
YNL006W	1130	1609	1100
YNL007C	5950	7435	6189
YNL008C	1610	2258	1725
YNL009W	129	159	149
YNL010W	5023	7153	5978
YNL011C	613	882	652
YNL012W	100	145	90
YNL013C	2	1	0
YNL014W	380	635	437
YNL015W	144	267	204
YNL016W	14684	20974	16975
YNL017C	0	0	1
YNL018C	24	49	36
YNL019C	20	11	28
YNL020C	1377	1773	1501
YNL021W	2157	3142	2445
YNL022C	1644	2511	1962
YNL023C	2835	4211	3300
YNL024C	230	357	291
YNL024C-A	110	166	136
YNL025C	469	694	472
YNL026W	1305	2040	1503
YNL027W	2638	3544	3183
YNL028W	0	0	0
YNL029C	561	865	651
YNL030W	8893	10946	9407
YNL031C	11545	15666	14148
YNL032W	794	1120	854
YNL033W	24	46	60
YNL034W	12	23	36
YNL035C	1467	1988	1536
YNL036W	3302	3502	677
YNL037C	3879	6675	4155
YNL038W	684	984	747
YNL039W	1541	2292	1705
YNL040W	1481	2371	1699
YNL041C	2515	3513	2776
YNL042W	625	819	640
YNL042W-B	4	12	8
YNL043C	28	38	32
YNL044W	1532	2296	1937
YNL045W	3935	5994	4294
YNL046W	384	687	542
YNL047C	1206	1741	1333
YNL048W	1566	2416	1896
YNL049C	4343	5833	4718
YNL050C	795	1231	993
YNL051W	1177	1575	1312
YNL052W	1219	1654	1409
YNL053W	970	1419	1070
YNL054W	2568	3567	2667
YNL054W-A	0	0	0
YNL054W-B	16567	27807	16668
YNL055C	13293	19097	15129
YNL056W	635	869	685
YNL057W	9	9	5
YNL058C	888	1237	1037
YNL059C	3481	5064	3804
YNL061W	7870	12028	9401
YNL062C	2925	4253	3373
YNL063W	437	701	481
YNL064C	18108	25427	19322
YNL065W	2471	4863	3160
YNL066W	10273	16501	13838
YNL067W	6596	9741	7895
YNL067W-A	0	0	0
YNL067W-B	0	0	0
YNL068C	2828	3715	3098
YNL069C	37803	59057	48246
YNL070W	149	247	221
YNL071W	11679	17347	13843
YNL072W	582	794	695
YNL073W	1587	2575	1758
YNL074C	2068	3012	2407
YNL075W	1603	2664	2155
YNL076W	1348	1956	1560
YNL077W	1029	1598	1038
YNL078W	1680	2646	1943
YNL079C	7293	9611	7767
YNL080C	1399	2118	1650
YNL081C	557	836	684
YNL082W	1134	1660	1274
YNL083W	486	791	633
YNL084C	2542	3432	2754
YNL085W	16503	21496	16556
YNL086W	79	101	73
YNL087W	10027	14156	11043
YNL088W	8679	12343	9560
YNL089C	2	6	3
YNL090W	605	927	724
YNL091W	5201	7578	5848
YNL092W	113	137	104
YNL093W	28	53	42
YNL094W	1880	3057	2222
YNL095C	1210	1786	1201
YNL096C	12909	18327	15741
YNL097C	560	781	579
YNL097C-B	0	0	1
YNL097W-A	5	1	4
YNL098C	3015	4772	3532
YNL099C	1039	1555	1253
YNL100W	679	1054	790
YNL101W	2540	3556	2701
YNL102W	5835	8300	6134
YNL103W	1929	2975	2305
YNL103W-A	0	0	0
YNL104C	14871	21120	14711
YNL105W	0	1	0
YNL106C	1436	2135	1788
YNL107W	506	641	532
YNL108C	1097	1596	1283
YNL109W	7	4	3
YNL110C	2173	3231	2593
YNL111C	493	862	779
YNL112W	12383	18904	15634
YNL113W	1151	1685	1331
YNL114C	3	16	4
YNL115C	1055	1563	1178
YNL116W	874	1230	1022
YNL117W	88	100	91
YNL118C	4902	6898	5638
YNL119W	1664	2422	1934
YNL120C	0	1	1
YNL121C	9538	15045	11025
YNL122C	150	280	211
YNL123W	6796	10019	7630
YNL124W	1300	2186	1697
YNL125C	1061	1555	1094
YNL126W	1794	2365	1887
YNL127W	1847	2910	2013
YNL128W	67	88	68
YNL129W	449	681	538
YNL130C	3500	5091	3707
YNL130C-A	0	0	0
YNL131W	2188	3503	2575
YNL132W	12093	16571	12666
YNL133C	152	182	159
YNL134C	1095	1896	1278
YNL135C	4753	6384	5428
YNL136W	310	564	470
YNL137C	1885	3111	2099
YNL138W	7659	11923	9173
YNL138W-A	98	138	109
YNL139C	6538	9338	7217
YNL140C	110	70	116
YNL141W	4120	5738	4867
YNL142W	268	418	324
YNL143C	2	2	1
YNL144C	605	925	724
YNL144W-A	0	0	0
YNL145W	15	16	27
YNL146C-A	5	17	10
YNL146W	6	11	7
YNL147W	539	753	634
YNL148C	217	246	241
YNL149C	1418	2242	1868
YNL150W	0	1	0
YNL151C	750	1076	887
YNL152W	923	1255	1060
YNL153C	959	1447	1230
YNL154C	5571	8287	6320
YNL155W	1504	2277	1653
YNL156C	974	1511	1132
YNL157W	1189	1661	1429
YNL158W	430	634	503
YNL159C	605	843	630
YNL160W	2317	3527	3666
YNL161W	2640	3683	2923
YNL162W	14984	21682	19771
YNL162W-A	37	66	48
YNL163C	3976	6356	4766
YNL164C	375	608	483
YNL165W	576	907	712
YNL166C	1956	2714	2138
YNL167C	1517	2334	1853
YNL168C	1206	1945	1488
YNL169C	1862	2680	2036
YNL170W	69	77	60
YNL171C	0	0	0
YNL172W	2167	3238	2548
YNL173C	983	1516	1097
YNL174W	1	2	2
YNL175C	3946	5691	4239
YNL176C	1547	2183	1856
YNL177C	1100	1893	1402
YNL178W	76562	106132	89623
YNL179C	89	101	74
YNL180C	2029	2773	1874
YNL181W	1353	2038	1483
YNL182C	3475	5282	4143
YNL183C	1411	1988	1662
YNL184C	60	115	77
YNL185C	470	824	582
YNL186W	5014	8069	6431
YNL187W	305	558	425
YNL188W	754	1198	965
YNL189W	9522	12873	10203
YNL190W	14982	18266	15365
YNL191W	863	1359	1064
YNL192W	10374	13510	10798
YNL193W	1334	1731	1450
YNL194C	64	81	65
YNL195C	45	97	76
YNL196C	6	11	12
YNL197C	2868	4236	3554
YNL198C	19	25	17
YNL199C	1735	2492	1918
YNL200C	312	555	429
YNL201C	3997	6016	4490
YNL202W	65	134	82
YNL203C	109	184	164
YNL204C	176	252	212
YNL205C	26	30	37
YNL206C	1664	2559	1988
YNL207W	1907	2763	2176
YNL208W	4686	6251	4908
YNL209W	124886	183733	149111
YNL210W	2	4	4
YNL211C	33	80	88
YNL212W	3347	4649	3457
YNL213C	326	497	380
YNL214W	197	230	203
YNL215W	185	255	231
YNL216W	4586	6345	5112
YNL217W	2603	3704	3033
YNL218W	629	978	647
YNL219C	3407	5093	3816
YNL220W	6701	10376	6880
YNL221C	3619	5296	3830
YNL222W	317	408	346
YNL223W	339	607	451
YNL224C	1798	2431	1850
YNL225C	868	1179	925
YNL226W	0	0	1
YNL227C	1191	1793	1386
YNL228W	19	26	27
YNL229C	1501	2332	1838
YNL230C	435	679	520
YNL231C	2756	4172	3703
YNL232W	1515	2031	1614
YNL233W	2060	2849	2225
YNL234W	832	1188	878
YNL235C	0	4	0
YNL236W	2844	4101	3272
YNL237W	99	160	143
YNL238W	3288	5181	4137
YNL239W	3667	5878	4243
YNL240C	1105	1403	1113
YNL241C	6919	10795	7719
YNL242W	1775	2670	2055
YNL243W	7755	10828	8780
YNL244C	2078	3569	2959
YNL245C	297	425	343
YNL246W	885	1419	1167
YNL247W	11880	16708	13156
YNL248C	5605	8510	6126
YNL249C	468	733	553
YNL250W	2037	2991	2169
YNL251C	2155	3318	2845
YNL252C	899	1453	1028
YNL253W	798	1197	925
YNL254C	510	739	575
YNL255C	6628	7745	6498
YNL256W	3460	5189	3815
YNL257C	2891	4109	3201
YNL258C	2271	3165	2472
YNL259C	178	186	206
YNL260C	271	431	322
YNL261W	1194	1656	1442
YNL262W	6875	10740	8438
YNL263C	2043	2729	2292
YNL264C	1307	1958	1681
YNL265C	803	1139	942
YNL266W	4	4	2
YNL267W	3923	5685	4482
YNL268W	5467	8245	6246
YNL269W	3	5	2
YNL270C	83	88	74
YNL271C	7779	12020	9483
YNL272C	2817	3929	2750
YNL273W	1912	2786	2107
YNL274C	386	555	414
YNL275W	816	1249	975
YNL276C	32	35	36
YNL277W	358	699	267
YNL277W-A	2	0	2
YNL278W	1423	1957	1640
YNL279W	115	184	124
YNL280C	2452	3858	3105
YNL281W	2671	3792	2846
YNL282W	308	355	313
YNL283C	2406	3708	3054
YNL284C	1183	1964	1302
YNL284C-A	0	0	0
YNL284C-B	9742	17475	8752
YNL285W	1	1	0
YNL286W	523	711	520
YNL287W	18534	25831	19563
YNL288W	1511	2003	1727
YNL289W	879	1440	1208
YNL290W	1921	2825	2192
YNL291C	1635	2465	1761
YNL292W	1551	2281	1835
YNL293W	619	904	664
YNL294C	1161	1698	1309
YNL295W	918	1426	1139
YNL296W	1	1	2
YNL297C	6386	8952	7025
YNL298W	1856	2524	2148
YNL299W	1208	1844	1475
YNL300W	834	1166	975
YNL301C	4728	6990	5804
YNL302C	22815	31777	27784
YNL303W	18	45	31
YNL304W	449	629	485
YNL305C	700	910	843
YNL306W	944	1663	1139
YNL307C	4333	6439	5075
YNL308C	2733	4403	3260
YNL309W	456	660	546
YNL310C	446	595	485
YNL311C	1221	1746	1423
YNL312W	1787	2518	2054
YNL313C	4888	7908	5922
YNL314W	296	435	380
YNL315C	1301	1962	1366
YNL316C	632	781	588
YNL317W	1030	1527	1166
YNL318C	5	4	10
YNL319W	0	0	1
YNL320W	734	1065	814
YNL321W	2626	3849	2935
YNL322C	4450	6110	4970
YNL323W	1999	2831	2170
YNL324W	2	1	0
YNL325C	1110	1514	1127
YNL326C	514	792	581
YNL327W	16435	23961	19682
YNL328C	126	197	124
YNL329C	2409	3399	2661
YNL330C	1835	2656	2111
YNL331C	227	281	184
YNL332W	23	32	19
YNL333W	178	278	194
YNL334C	124	193	187
YNL335W	7	16	8
YNL336W	599	939	675
YNL337W	0	0	0
YNL338W	0	0	0
YNL339C	588	173	365
YNL339W-A	4	9	25
YNL339W-B	1	8	4
YNR001C	4920	7362	4702
YNR001W-A	0	0	3
YNR002C	42	53	48
YNR003C	1324	1840	1533
YNR003W-A	0	0	0
YNR004W	92	124	97
YNR005C	0	1	0
YNR006W	2016	2870	2240
YNR007C	334	497	351
YNR008W	1491	2193	1798
YNR009W	409	613	585
YNR010W	237	326	328
YNR011C	1514	2145	1810
YNR012W	1731	2456	1916
YNR013C	5135	7029	5861
YNR014W	201	239	213
YNR015W	1637	2265	1878
YNR016C	109797	151345	104060
YNR017W	1597	2489	1906
YNR018W	2043	3641	3189
YNR019W	3165	4637	4004
YNR020C	237	355	285
YNR021W	7072	10148	8193
YNR022C	467	743	484
YNR023W	912	1249	1053
YNR024W	271	511	437
YNR025C	2	1	0
YNR026C	1070	1722	1334
YNR027W	773	1050	914
YNR028W	1290	1805	1563
YNR029C	1129	1527	1202
YNR030W	3296	4798	3522
YNR031C	4325	6586	4796
YNR032C-A	86	138	127
YNR032W	877	1263	903
YNR033W	2762	4244	2965
YNR034W	505	608	497
YNR034W-A	37	58	54
YNR035C	3778	5451	4472
YNR036C	1005	1866	1451
YNR037C	261	497	394
YNR038W	4100	5720	4685
YNR039C	1290	1878	1445
YNR040W	368	575	451
YNR041C	964	1374	987
YNR042W	4	4	4
YNR043W	6380	9703	7575
YNR044W	761	1125	938
YNR045W	725	1037	807
YNR046W	1061	1583	1326
YNR047W	3210	5116	3859
YNR048W	705	1052	834
YNR049C	430	642	566
YNR050C	2718	3981	2838
YNR051C	4639	7428	5643
YNR052C	1834	2820	2163
YNR053C	7656	11425	9020
YNR054C	942	1449	1124
YNR055C	1985	3216	2244
YNR056C	47	55	51
YNR057C	102	146	147
YNR058W	203	253	201
YNR059W	683	1127	901
YNR060W	288	352	311
YNR061C	1186	1590	1315
YNR062C	12	25	21
YNR063W	438	646	470
YNR064C	35	48	55
YNR065C	958	1668	1136
YNR066C	458	676	488
YNR067C	10750	14254	12030
YNR068C	133	189	105
YNR069C	234	363	222
YNR070W	69	140	92
YNR071C	25	25	37
YNR072W	10	15	25
YNR073C	71	84	48
YNR074C	612	1008	724
YNR075C-A	0	0	0
YNR075W	475	704	612
YNR076W	65	0	59
YNR077C	0	0	0
YOL001W	347	584	445
YOL002C	1900	2967	2276
YOL003C	772	1244	870
YOL004W	12321	17274	13743
YOL005C	568	940	772
YOL006C	2785	4427	3266
YOL007C	1464	2179	1572
YOL008W	386	487	419
YOL009C	216	334	276
YOL010W	1691	2713	2080
YOL011W	2100	3029	2640
YOL012C	1057	1454	1258
YOL013C	1538	2156	1610
YOL013W-A	4	5	4
YOL013W-B	5	2	1
YOL014W	607	764	762
YOL015W	202	248	204
YOL016C	7982	10745	9881
YOL017W	456	761	589
YOL018C	779	1115	831
YOL019W	2212	3263	2471
YOL019W-A	0	2	0
YOL020W	3426	5469	4105
YOL021C	6709	10013	7813
YOL022C	2315	3360	2540
YOL023W	706	1120	808
YOL024W	15	15	16
YOL025W	805	1167	865
YOL026C	280	465	427
YOL027C	3980	6713	4739
YOL028C	561	789	643
YOL029C	522	722	568
YOL030W	6502	9132	7457
YOL031C	1216	1733	1464
YOL032W	612	809	619
YOL033W	671	1098	793
YOL034W	1352	2091	1610
YOL035C	0	1	0
YOL036W	3049	4485	3435
YOL037C	1	1	0
YOL038C-A	0	0	0
YOL038W	4175	6076	4979
YOL039W	14499	18143	17658
YOL040C	23763	34756	30126
YOL041C	4219	6438	4934
YOL042W	926	1214	972
YOL043C	357	499	390
YOL044W	467	643	547
YOL045W	3000	4487	3502
YOL046C	0	0	0
YOL047C	21	46	33
YOL048C	459	660	519
YOL049W	4321	5978	4653
YOL050C	0	2	1
YOL051W	3921	5607	4620
YOL052C	1920	3015	2343
YOL052C-A	33	31	26
YOL053W	579	786	567
YOL054W	575	901	694
YOL055C	555	844	622
YOL056W	718	1084	917
YOL057W	4260	5855	4797
YOL058W	470	740	562
YOL059W	4592	6485	5322
YOL060C	2129	3300	2445
YOL061W	4939	7629	5995
YOL062C	2155	3351	2536
YOL063C	2068	3008	2363
YOL064C	2063	3259	2303
YOL065C	676	914	705
YOL066C	1172	1614	1313
YOL067C	509	743	551
YOL068C	2969	3902	3241
YOL069W	916	1292	1107
YOL070C	1782	2740	2368
YOL071W	235	402	278
YOL072W	719	1061	814
YOL073C	711	1047	845
YOL075C	1626	2508	1767
YOL076W	4208	6028	4683
YOL077C	4635	6419	5209
YOL077W-A	284	339	321
YOL078W	1492	2297	1776
YOL079W	4	5	2
YOL080C	1097	1580	1298
YOL081W	14248	21752	16806
YOL082W	1084	1682	1203
YOL083C-A	0	0	1
YOL083W	193	283	232
YOL084W	180	290	198
YOL085C	0	0	1
YOL085W-A	9	12	9
YOL086C	206770	357674	274116
YOL086W-A	104	214	144
YOL087C	2601	3814	2902
YOL088C	1097	1778	1370
YOL089C	1871	2582	1938
YOL090W	4773	6445	4842
YOL091W	113	146	123
YOL092W	2628	3924	3155
YOL093W	837	1175	925
YOL094C	1071	1499	1189
YOL095C	715	943	806
YOL096C	484	712	528
YOL097C	7378	10842	8967
YOL097W-A	4	2	8
YOL098C	7578	11573	8710
YOL099C	3	3	1
YOL100W	1555	2206	1640
YOL101C	867	1296	779
YOL102C	614	908	743
YOL103W	3787	6013	4405
YOL103W-A	0	0	0
YOL103W-B	98764	164759	95403
YOL104C	505	826	388
YOL105C	576	936	612
YOL106W	23	31	18
YOL107W	465	672	473
YOL108C	192	273	235
YOL109W	10424	17537	14067
YOL110W	248	194	224
YOL111C	1212	1763	1425
YOL112W	535	896	659
YOL113W	1214	1735	1236
YOL114C	98	131	117
YOL115W	1783	2578	1886
YOL116W	761	1161	931
YOL117W	559	761	610
YOL118C	3	9	1
YOL119C	343	583	412
YOL120C	49268	75315	67025
YOL121C	14655	19895	17829
YOL122C	1865	2775	2067
YOL123W	6754	8678	7452
YOL124C	1945	3168	2341
YOL125W	1278	1999	1490
YOL126C	3429	5000	3886
YOL127W	39741	54801	48461
YOL128C	346	677	499
YOL129W	1528	2303	1832
YOL130W	4431	7044	5520
YOL131W	1	2	2
YOL132W	20	30	27
YOL133W	234	443	320
YOL134C	2	1	2
YOL135C	440	582	494
YOL136C	3288	4611	4109
YOL137W	824	1218	979
YOL138C	1732	2739	2046
YOL139C	9287	14022	11637
YOL140W	1014	1506	1170
YOL141W	1086	1682	1236
YOL142W	946	1647	1318
YOL143C	3754	5496	4307
YOL144W	1030	1552	1281
YOL145C	6336	9041	7012
YOL146W	427	702	547
YOL147C	490	791	621
YOL148C	1620	2149	1644
YOL149W	910	1344	1143
YOL150C	21	28	24
YOL151W	1617	2192	2425
YOL152W	456	702	219
YOL154W	100	180	129
YOL155C	2997	3119	2780
YOL155W-A	0	0	0
YOL156W	15	30	27
YOL157C	105	219	124
YOL158C	3569	4316	4355
YOL159C	309	383	302
YOL159C-A	19	22	22
YOL160W	4	2	2
YOL161C	0	0	1
YOL162W	22	32	15
YOL163W	16	33	16
YOL164W	473	755	546
YOL164W-A	0	0	0
YOL165C	2	2	6
YOL166C	1	0	0
YOL166W-A	0	0	0
YOR001W	4528	6793	5108
YOR002W	3052	4396	3577
YOR003W	192	323	210
YOR004W	1288	2071	1588
YOR005C	655	892	688
YOR006C	795	1259	953
YOR007C	12303	18986	13501
YOR008C	2566	3824	3143
YOR008C-A	1	1	0
YOR008W-B	0	0	0
YOR009W	164	217	177
YOR010C	88	123	105
YOR011W	1757	2513	1944
YOR011W-A	0	0	0
YOR012W	57	94	68
YOR013W	64	106	66
YOR014W	6362	8650	7210
YOR015W	409	544	464
YOR016C	965	1342	1123
YOR017W	1608	2312	1777
YOR018W	1105	1551	1136
YOR019W	228	368	282
YOR020C	2594	3858	2712
YOR020W-A	113	182	172
YOR021C	2125	3162	2447
YOR022C	852	1231	859
YOR023C	1160	1773	1485
YOR024W	0	2	0
YOR025W	1008	1532	1195
YOR026W	648	977	759
YOR027W	23303	32678	21705
YOR028C	171	208	175
YOR029W	0	0	1
YOR030W	1312	2039	1453
YOR032C	36	73	81
YOR032W-A	1	5	1
YOR033C	1442	2027	1529
YOR034C	1796	2326	1845
YOR034C-A	17	19	16
YOR035C	2117	3242	2353
YOR036W	817	1187	955
YOR037W	520	743	540
YOR038C	699	1316	1073
YOR039W	1889	2406	1948
YOR040W	281	452	335
YOR041C	8	14	8
YOR042W	2449	3836	2759
YOR043W	2267	3515	2579
YOR044W	145	207	218
YOR045W	260	355	352
YOR046C	7620	9753	7767
YOR047C	2225	3251	2524
YOR048C	7441	10508	7780
YOR049C	102	142	278
YOR050C	2	7	0
YOR051C	4061	5663	4886
YOR052C	1312	1752	1360
YOR053W	0	2	1
YOR054C	861	1336	962
YOR055W	4	1	2
YOR056C	2511	3887	3094
YOR057W	1130	1747	1378
YOR058C	1905	2648	2265
YOR059C	926	1466	1118
YOR060C	434	746	522
YOR061W	2275	3610	2848
YOR062C	219	280	218
YOR063W	152696	242553	188086
YOR064C	233	362	300
YOR065W	1500	1865	1701
YOR066W	1335	1801	1542
YOR067C	2757	4013	3137
YOR068C	1	1	1
YOR069W	2121	3007	2283
YOR070C	1253	1746	1420
YOR071C	1173	1904	1315
YOR072W	2	5	1
YOR072W-A	11	7	5
YOR072W-B	0	0	0
YOR073W	829	1286	1012
YOR073W-A	0	0	0
YOR074C	1002	1559	1182
YOR075W	768	995	823
YOR076C	1351	1767	1459
YOR077W	216	349	226
YOR078W	1457	2384	1851
YOR079C	732	1115	806
YOR080W	1098	1598	1288
YOR081C	1680	2424	2107
YOR082C	0	2	1
YOR083W	240	268	268
YOR084W	585	719	689
YOR085W	3774	5550	4537
YOR086C	8676	13410	10024
YOR087W	1743	2705	2023
YOR089C	1184	1699	1399
YOR090C	2076	2872	2313
YOR091W	3442	4625	3684
YOR092W	1990	3034	2171
YOR093C	2600	3907	2925
YOR094W	384	560	438
YOR095C	1892	2554	2146
YOR096W	35084	50111	42860
YOR097C	183	267	235
YOR098C	5734	9359	7217
YOR099W	5620	9574	7420
YOR100C	71	73	66
YOR101W	1717	2664	2265
YOR102W	0	0	0
YOR103C	577	999	855
YOR104W	418	580	514
YOR105W	59	72	70
YOR106W	800	1140	876
YOR107W	646	937	1013
YOR108C-A	0	0	0
YOR108W	7338	10632	8682
YOR109W	6384	9431	7143
YOR110W	932	1440	1102
YOR111W	229	357	296
YOR112W	2122	2959	2390
YOR113W	1548	2294	1738
YOR114W	128	210	154
YOR115C	934	1361	1133
YOR116C	13430	18693	13995
YOR117W	5948	8892	6738
YOR118W	1232	1778	1344
YOR119C	1360	2128	1739
YOR120W	397	638	406
YOR121C	0	1	0
YOR122C	4483	7102	5694
YOR123C	1027	1778	1402
YOR124C	5496	8230	6163
YOR125C	419	692	515
YOR126C	392	548	433
YOR127W	2997	4387	3208
YOR128C	2577	4526	3163
YOR129C	1035	1502	1176
YOR130C	417	666	477
YOR131C	589	847	640
YOR132W	2374	3296	2460
YOR133W	164782	234656	182505
YOR134W	106	159	111
YOR135C	1	1	1
YOR136W	6294	10293	7496
YOR137C	865	1408	986
YOR138C	1466	2245	1712
YOR139C	2	4	3
YOR140W	1307	2126	1882
YOR141C	2654	4007	3074
YOR142W	3579	5660	4417
YOR142W-A	0	0	0
YOR142W-B	9296	19666	8970
YOR143C	931	1307	1053
YOR144C	1207	1755	1373
YOR145C	2701	4398	3507
YOR146W	1	7	3
YOR147W	1758	2391	1897
YOR148C	247	388	294
YOR149C	1028	1540	1164
YOR150W	700	953	762
YOR151C	18542	26573	20184
YOR152C	212	315	302
YOR153W	74053	118356	145789
YOR154W	1144	1934	1361
YOR155C	1306	1958	1539
YOR156C	970	1381	1117
YOR157C	3593	5401	4243
YOR158W	935	1469	1017
YOR159C	195	275	219
YOR160W	2742	4005	3183
YOR161C	1297	1972	1484
YOR161C-C	0	0	0
YOR161W-A	0	0	0
YOR161W-B	0	7	5
YOR162C	925	1420	1019
YOR163W	760	1235	926
YOR164C	2673	3699	3160
YOR165W	4849	7541	5572
YOR166C	964	1595	1117
YOR167C	6038	9060	9070
YOR168W	21125	29476	22292
YOR169C	0	1	0
YOR170W	0	0	0
YOR171C	2736	3771	2883
YOR172W	1484	2421	1765
YOR173W	302	482	302
YOR174W	752	1085	866
YOR175C	5176	7756	5646
YOR176W	2558	3877	3065
YOR177C	106	114	76
YOR178C	234	201	171
YOR179C	430	617	481
YOR180C	139	197	135
YOR181W	879	1356	1142
YOR182C	5569	9374	10187
YOR183W	2	1	3
YOR184W	6403	9554	6292
YOR185C	511	860	654
YOR186C-A	1	4	2
YOR186W	5	11	7
YOR187W	7337	11524	7588
YOR188W	3260	4747	3794
YOR189W	323	543	413
YOR190W	36	77	45
YOR191W	4348	6903	5166
YOR192C	177	292	210
YOR192C-A	0	0	0
YOR192C-B	31490	50943	33989
YOR192C-C	51	105	62
YOR193W	444	637	467
YOR194C	538	915	747
YOR195W	2454	3417	2557
YOR196C	1555	2265	1660
YOR197W	6977	8717	7226
YOR198C	13870	19583	16080
YOR199W	0	2	3
YOR200W	6	6	7
YOR201C	1052	1834	1274
YOR202W	567	767	662
YOR203W	63	62	70
YOR204W	35666	48069	40370
YOR205C	1155	1695	1287
YOR206W	9476	13703	10310
YOR207C	8949	12237	9419
YOR208W	1559	2276	1806
YOR209C	6992	10056	8121
YOR210W	548	822	707
YOR211C	2457	3682	2674
YOR212W	3136	4617	3646
YOR213C	582	847	601
YOR214C	4	4	3
YOR215C	595	858	617
YOR216C	1785	2733	2199
YOR217W	3429	5195	3915
YOR218C	0	0	1
YOR219C	2712	3645	3000
YOR220W	1816	2489	2187
YOR221C	1075	1680	1134
YOR222W	1155	1771	1719
YOR223W	292	483	323
YOR224C	2380	3909	3233
YOR225W	0	2	2
YOR226C	1308	1630	1475
YOR227W	2193	3204	2690
YOR228C	225	383	312
YOR229W	763	1214	992
YOR230W	7501	12085	9122
YOR231C-A	0	1	0
YOR231W	1454	2197	1598
YOR232W	3002	4367	3290
YOR233W	2454	3494	2818
YOR234C	9021	12705	11024
YOR235W	0	0	1
YOR236W	630	961	679
YOR237W	100	147	121
YOR238W	665	928	669
YOR239W	4505	6606	5278
YOR241W	2802	4235	3339
YOR242C	116	156	113
YOR243C	5776	8394	6250
YOR244W	1138	1577	1219
YOR245C	973	1405	1039
YOR246C	1864	3021	2398
YOR247W	5246	8290	7267
YOR248W	407	551	570
YOR249C	923	1304	1003
YOR250C	975	1333	1076
YOR251C	1795	2405	1945
YOR252W	598	1115	826
YOR253W	1123	1538	1296
YOR254C	8906	12674	9991
YOR255W	0	2	5
YOR256C	2360	3501	2600
YOR257W	296	432	392
YOR258W	169	276	212
YOR259C	5799	8295	6338
YOR260W	7189	9985	7903
YOR261C	5118	6933	5467
YOR262W	1126	1593	1180
YOR263C	1	0	0
YOR264W	2056	2817	2222
YOR265W	449	569	546
YOR266W	649	964	722
YOR267C	4393	5703	4966
YOR268C	0	0	0
YOR269W	913	1254	970
YOR270C	24103	35008	26214
YOR271C	4084	6125	5039
YOR272W	3880	5686	4605
YOR273C	2238	3349	2692
YOR274W	849	1335	993
YOR275C	2078	2985	2180
YOR276W	3852	5828	4743
YOR277C	2	5	6
YOR278W	672	912	711
YOR279C	322	492	348
YOR280C	711	887	728
YOR281C	1761	2439	1938
YOR282W	0	0	1
YOR283W	1134	1708	1388
YOR284W	174	249	191
YOR285W	1528	2265	1797
YOR286W	911	1280	929
YOR287C	557	905	749
YOR288C	607	940	802
YOR289W	252	398	301
YOR290C	6984	9803	7955
YOR291W	3316	5089	3972
YOR292C	391	490	368
YOR293C-A	0	1	0
YOR293W	14108	20403	17728
YOR294W	1734	2741	2212
YOR295W	212	358	284
